Date,Customer Name,Phone,Alternative Phone,Address,Area,State,Product Name,Quantity,Total Amount,Status,Customer Rep,Delivery Agent,Order ID,Notes
2025-12-15T22:16:40.012Z,Michael Annan,276719244,,"House 422, Street 38",Yendi,Northern,,,1386,out_for_delivery,Joyce Adjei,Peter Gyasi,1078,
2025-12-15T04:02:46.510Z,Elizabeth Addo,503603709,,"House 328, Street 45",Walewale,Northern,,,6898,delivered,Akua Nkrumah,Adjoa Amoah,1001,
2025-12-14T15:48:58.393Z,Patience Frimpong,248668395,,"House 31, Street 6",Bawku,Upper East,,,693,returned,Joyce Adjei,Unassigned,1086,
2025-12-14T06:16:39.565Z,Sarah Nkrumah,264771448,,"House 28, Street 12",Ho,Volta,,,418,preparing,Joyce Adjei,Unassigned,1083,
2025-12-13T05:03:12.317Z,Yaw Amoah,209379824,,"House 273, Street 49",Dansoman,Greater Accra,,,17954,returned,Emmanuel Agyeman,Unassigned,1038,
2025-12-12T12:35:26.227Z,Kofi Osei,543118521,,"House 479, Street 32",Cape Coast,Central,,,6057,returned,Emmanuel Agyeman,Unassigned,1087,
2025-12-12T10:25:36.211Z,James Opoku,567466189,,"House 83, Street 0",Sunyani,Bono,,,4312,failed_delivery,Akua Nkrumah,Emmanuel Gyasi,1028,
2025-12-11T05:27:35.853Z,Elizabeth Ofori,266620120,,"House 427, Street 46",Berekum,Bono,,,675,confirmed,Emmanuel Amponsah,Unassigned,1011,
2025-12-11T01:09:15.642Z,Grace Konadu,547112000,,"House 442, Street 65",Elmina,Central,,,7891,delivered,Stephen Amponsah,Rebecca Agyeman,1000,
2025-12-10T23:52:41.370Z,John Ofori,249721043,,"House 216, Street 44",Bawku,Upper East,,,2942,ready_for_pickup,Rebecca Boateng,Unassigned,1041,
2025-12-10T12:12:55.883Z,Emmanuel Gyasi,544520036,,"House 93, Street 88",Dormaa Ahenkro,Bono,,,3221,out_for_delivery,Emmanuel Amponsah,Peter Appiah,1066,
2025-12-10T05:13:30.149Z,Solomon Boateng,276946956,,"House 457, Street 55",Keta,Volta,,,438,delivered,Emmanuel Amponsah,Faith Owusu,1111,
2025-12-10T02:39:09.492Z,Elizabeth Addo,503603709,,"House 328, Street 45",Walewale,Northern,,,101,delivered,Akua Nkrumah,Peter Gyasi,1018,
2025-12-08T03:44:21.467Z,Joseph Addo,266372119,,"House 252, Street 84",Walewale,Northern,,,6245,cancelled,Rebecca Boateng,Unassigned,1065,
2025-12-06T15:50:53.560Z,David Owusu,260174971,,"House 329, Street 94",Hohoe,Volta,,,425,returned,Emmanuel Amponsah,Unassigned,1007,
2025-12-06T12:07:56.041Z,Kofi Yeboah,278142714,,"House 25, Street 38",Madina,Greater Accra,,,2499,pending_confirmation,Rebecca Boateng,Unassigned,1110,
2025-12-05T12:13:34.375Z,Mary Yeboah,561594985,,"House 192, Street 50",Akosombo,Eastern,,,12650,confirmed,Mary Nkrumah,Unassigned,1109,
2025-12-05T05:26:35.370Z,Isaac Adjei,547730304,,"House 149, Street 41",Axim,Western,,,2354,confirmed,Joyce Adjei,Unassigned,1012,
2025-12-05T03:46:50.036Z,Kofi Asante,263735910,,"House 408, Street 87",Ho,Volta,,,966,confirmed,Joyce Adjei,Unassigned,1055,
2025-12-04T16:53:26.723Z,Peter Gyasi,279314005,,"House 330, Street 51",Achimota,Greater Accra,,,1273,pending_confirmation,Emmanuel Agyeman,Unassigned,1107,
2025-12-04T09:13:44.361Z,Joseph Addo,266372119,,"House 252, Street 84",Walewale,Northern,,,1805,delivered,David Opoku,Faith Owusu,1100,
2025-12-03T13:56:15.665Z,Mary Yeboah,561594985,,"House 192, Street 50",Akosombo,Eastern,,,1175,pending_confirmation,Elizabeth Amponsah,Unassigned,1093,
2025-12-03T07:45:26.849Z,Isaac Appiah,548110703,,"House 295, Street 17",Walewale,Northern,,,1922,cancelled,Ama Agyeman,Unassigned,1052,
2025-12-02T11:21:43.787Z,Yaw Agyeman,570049651,,"House 398, Street 12",Berekum,Bono,,,1218,pending_confirmation,Mary Nkrumah,Unassigned,1054,
2025-12-02T05:49:36.121Z,Rebecca Annan,573210214,,"House 1, Street 96",Winneba,Central,,,955,confirmed,Stephen Amponsah,Unassigned,1045,
2025-12-01T22:56:31.706Z,John Ofori,249721043,,"House 216, Street 44",Bawku,Upper East,,,1940,out_for_delivery,David Opoku,Faith Appiah,1022,
2025-12-01T16:33:31.801Z,Kwesi Adjei,507112717,,"House 331, Street 80",Hohoe,Volta,,,22532,pending_confirmation,Stephen Amponsah,Unassigned,1053,
2025-12-01T13:43:17.610Z,Kwesi Osei,503092071,,"House 8, Street 14",Mampong,Ashanti,,,18885,preparing,Emmanuel Amponsah,Unassigned,1061,
2025-11-30T13:08:07.759Z,Kofi Asante,263735910,,"House 408, Street 87",Ho,Volta,,,17237,failed_delivery,Emmanuel Agyeman,Hannah Opoku,1073,
2025-11-30T09:14:26.202Z,Yaw Boateng,262952094,,"House 153, Street 52",Dormaa Ahenkro,Bono,,,2412,returned,Akua Nkrumah,Unassigned,1113,
2025-11-30T06:02:20.358Z,James Annan,577976791,,"House 289, Street 54",Kasoa,Central,,,21322,returned,Akua Nkrumah,Unassigned,1088,
2025-11-29T12:39:58.972Z,Isaac Appiah,548110703,,"House 295, Street 17",Walewale,Northern,,,8371,failed_delivery,Elizabeth Amponsah,Solomon Addo,1002,
2025-11-28T23:12:39.128Z,Yaw Boateng,262952094,,"House 153, Street 52",Dormaa Ahenkro,Bono,,,4605,preparing,Stephen Amponsah,Unassigned,1062,
2025-11-26T13:25:46.934Z,Kofi Agyeman,241536256,,"House 81, Street 8",Lawra,Upper West,,,17920,cancelled,Stephen Amponsah,Unassigned,1044,
2025-11-25T20:48:36.395Z,Kofi Asante,263735910,,"House 408, Street 87",Ho,Volta,,,1283,delivered,Ama Agyeman,Peter Appiah,1076,
2025-11-23T13:42:33.972Z,Kofi Osei,543118521,,"House 479, Street 32",Cape Coast,Central,,,200,preparing,Joyce Adjei,Unassigned,1027,
2025-11-23T04:26:01.079Z,Kofi Osei,543118521,,"House 479, Street 32",Cape Coast,Central,,,4135,out_for_delivery,David Opoku,Hannah Opoku,1035,
2025-11-23T00:51:32.115Z,Isaac Appiah,548110703,,"House 295, Street 17",Walewale,Northern,,,1017,ready_for_pickup,David Opoku,Unassigned,1096,
2025-11-22T03:58:40.184Z,John Ofori,249721043,,"House 216, Street 44",Bawku,Upper East,,,461,failed_delivery,Mary Nkrumah,Peter Appiah,1043,
2025-11-21T05:57:42.878Z,Yaw Boateng,262952094,,"House 153, Street 52",Dormaa Ahenkro,Bono,,,8135,ready_for_pickup,Stephen Amponsah,Unassigned,1115,
2025-11-20T22:10:27.221Z,Kwesi Darko,247837287,,"House 421, Street 21",Savelugu,Northern,,,21531,confirmed,Ama Agyeman,Unassigned,1014,
2025-11-17T10:20:51.250Z,John Ofori,249721043,,"House 216, Street 44",Bawku,Upper East,,,3835,preparing,Mary Nkrumah,Unassigned,1117,
2025-11-16T22:53:40.787Z,Elizabeth Addo,503603709,,"House 328, Street 45",Walewale,Northern,,,395,ready_for_pickup,Rebecca Boateng,Unassigned,1104,
2025-11-16T19:43:18.363Z,Joyce Frimpong,508071547,,"House 283, Street 56",Dormaa Ahenkro,Bono,,,8575,ready_for_pickup,Rebecca Boateng,Unassigned,1105,
2025-11-16T01:40:56.574Z,Joyce Amoah,275575142,,"House 255, Street 49",Sunyani,Bono,,,3588,confirmed,Stephen Amponsah,Unassigned,1067,
2025-11-15T16:45:03.750Z,Yaw Agyeman,570049651,,"House 398, Street 12",Berekum,Bono,,,942,preparing,Joyce Adjei,Unassigned,1099,
2025-11-15T03:26:20.282Z,Charity Gyasi,245277309,,"House 355, Street 81",Ejisu,Ashanti,,,5166,out_for_delivery,Mary Nkrumah,Hannah Opoku,1023,
2025-11-14T21:41:45.580Z,Elizabeth Ofori,266620120,,"House 427, Street 46",Berekum,Bono,,,550,returned,Mary Nkrumah,Unassigned,1090,
2025-11-14T18:51:47.274Z,Kofi Yeboah,278142714,,"House 25, Street 38",Madina,Greater Accra,,,5388,pending_confirmation,Joyce Adjei,Unassigned,1092,
2025-11-14T12:00:34.124Z,Joyce Frimpong,508071547,,"House 283, Street 56",Dormaa Ahenkro,Bono,,,562,preparing,Akua Nkrumah,Unassigned,1057,
2025-11-13T18:32:23.241Z,James Annan,577976791,,"House 289, Street 54",Kasoa,Central,,,410,returned,Rebecca Boateng,Unassigned,1069,
2025-11-13T14:05:10.485Z,Rebecca Annan,573210214,,"House 1, Street 96",Winneba,Central,,,526,cancelled,Ama Agyeman,Unassigned,1056,
2025-11-13T05:09:09.653Z,Akua Amponsah,508610163,,"House 296, Street 71",Koforidua,Eastern,,,15986,returned,Ama Agyeman,Unassigned,1064,
2025-11-12T04:54:15.859Z,Rebecca Adjei,550318124,,"House 456, Street 58",Wa,Upper West,,,399,preparing,Elizabeth Amponsah,Unassigned,1021,
2025-11-10T13:55:35.835Z,Faith Opoku,549307159,,"House 104, Street 73",Bawku,Upper East,,,8676,returned,Akua Nkrumah,Unassigned,1103,
2025-11-10T07:26:45.982Z,Mary Addo,262542233,,"House 106, Street 50",Kumasi,Ashanti,,,5520,returned,Stephen Amponsah,Unassigned,1034,
2025-11-09T17:15:34.914Z,Peter Gyasi,279314005,,"House 330, Street 51",Achimota,Greater Accra,,,12287,preparing,Mary Nkrumah,Unassigned,1016,
2025-11-09T02:52:44.403Z,Joseph Addo,266372119,,"House 252, Street 84",Walewale,Northern,,,655,returned,Stephen Amponsah,Unassigned,1032,
2025-11-08T18:15:40.241Z,Benjamin Agyeman,559440304,,"House 369, Street 23",Nkawkaw,Eastern,,,3236,preparing,Emmanuel Amponsah,Unassigned,1036,
2025-11-07T01:21:04.946Z,John Ofori,249721043,,"House 216, Street 44",Bawku,Upper East,,,1037,ready_for_pickup,Elizabeth Amponsah,Unassigned,1084,
2025-11-06T07:21:22.116Z,Hannah Konadu,545656892,,"House 437, Street 12",Legon,Greater Accra,,,8640,preparing,Stephen Amponsah,Unassigned,1010,
2025-11-04T15:24:08.599Z,Faith Opoku,549307159,,"House 104, Street 73",Bawku,Upper East,,,12202,returned,Elizabeth Amponsah,Unassigned,1026,
2025-11-03T12:59:40.978Z,Hannah Konadu,545656892,,"House 437, Street 12",Legon,Greater Accra,,,861,confirmed,Emmanuel Amponsah,Unassigned,1050,
2025-11-02T16:01:07.439Z,Kofi Osei,543118521,,"House 479, Street 32",Cape Coast,Central,,,1194,pending_confirmation,Joyce Adjei,Unassigned,1095,
2025-11-02T15:56:29.253Z,Solomon Mensah,263940430,,"House 432, Street 20",Koforidua,Eastern,,,5201,cancelled,Rebecca Boateng,Unassigned,1108,
2025-11-01T10:20:43.509Z,Peter Gyasi,279314005,,"House 330, Street 51",Achimota,Greater Accra,,,396,preparing,David Opoku,Unassigned,1094,
2025-10-31T01:37:46.138Z,Patience Frimpong,248668395,,"House 31, Street 6",Bawku,Upper East,,,7516,cancelled,Emmanuel Amponsah,Unassigned,1098,
2025-10-29T15:17:26.310Z,Isaac Adjei,547730304,,"House 149, Street 41",Axim,Western,,,399,returned,Stephen Amponsah,Unassigned,1025,
2025-10-29T04:56:30.290Z,Peter Gyasi,279314005,,"House 330, Street 51",Achimota,Greater Accra,,,3205,delivered,Ama Agyeman,Ruth Adjei,1030,
2025-10-28T02:13:53.656Z,Peter Annan,205332120,,"House 176, Street 3",Tarkwa,Western,,,12032,delivered,Rebecca Boateng,Ruth Adjei,1031,
2025-10-27T16:23:01.980Z,Joyce Frimpong,508071547,,"House 283, Street 56",Dormaa Ahenkro,Bono,,,1116,delivered,Emmanuel Amponsah,Faith Owusu,1004,
2025-10-27T13:10:24.490Z,Sarah Nkrumah,264771448,,"House 28, Street 12",Ho,Volta,,,144,pending_confirmation,David Opoku,Unassigned,1071,
2025-10-26T01:19:51.583Z,Emmanuel Gyasi,544520036,,"House 93, Street 88",Dormaa Ahenkro,Bono,,,19690,preparing,Stephen Amponsah,Unassigned,1037,
2025-10-24T04:27:36.124Z,Isaac Agyeman,564664271,,"House 392, Street 73",Cape Coast,Central,,,1542,returned,Mary Nkrumah,Unassigned,1101,
2025-10-22T03:20:34.989Z,Akua Amponsah,508610163,,"House 296, Street 71",Koforidua,Eastern,,,475,out_for_delivery,Rebecca Boateng,Faith Appiah,1013,
2025-10-21T20:47:23.001Z,Isaac Adjei,547730304,,"House 149, Street 41",Axim,Western,,,1288,delivered,Elizabeth Amponsah,Peter Appiah,1082,
2025-10-21T17:01:38.257Z,Kwesi Adjei,507112717,,"House 331, Street 80",Hohoe,Volta,,,4528,confirmed,Joyce Adjei,Unassigned,1097,
2025-10-20T15:42:45.220Z,Benjamin Agyeman,559440304,,"House 369, Street 23",Nkawkaw,Eastern,,,497,cancelled,Mary Nkrumah,Unassigned,1042,
2025-10-19T20:22:21.656Z,Hannah Konadu,545656892,,"House 437, Street 12",Legon,Greater Accra,,,3197,ready_for_pickup,Emmanuel Agyeman,Unassigned,1003,
2025-10-19T16:03:13.824Z,Joyce Amoah,275575142,,"House 255, Street 49",Sunyani,Bono,,,4207,cancelled,Akua Nkrumah,Unassigned,1039,
2025-10-18T03:41:09.155Z,Kwame Ofori,508563528,,"House 229, Street 42",Ejisu,Ashanti,,,384,out_for_delivery,Elizabeth Amponsah,Solomon Addo,1072,
2025-10-16T11:46:50.479Z,Sarah Nkrumah,264771448,,"House 28, Street 12",Ho,Volta,,,333,cancelled,Mary Nkrumah,Unassigned,1059,
2025-10-15T19:51:31.685Z,Joyce Amoah,275575142,,"House 255, Street 49",Sunyani,Bono,,,660,confirmed,Emmanuel Agyeman,Unassigned,1068,
2025-10-15T15:42:43.843Z,James Annan,577976791,,"House 289, Street 54",Kasoa,Central,,,2140,preparing,Stephen Amponsah,Unassigned,1077,
2025-10-12T20:00:29.757Z,Patience Frimpong,248668395,,"House 31, Street 6",Bawku,Upper East,,,1532,confirmed,Joyce Adjei,Unassigned,1006,
2025-10-12T08:47:53.732Z,David Owusu,260174971,,"House 329, Street 94",Hohoe,Volta,,,1333,ready_for_pickup,Rebecca Boateng,Unassigned,1116,
2025-10-12T06:34:21.329Z,Hannah Yeboah,562195044,,"House 212, Street 27",Nkawkaw,Eastern,,,188,out_for_delivery,Ama Agyeman,Rebecca Agyeman,1080,
2025-10-11T10:28:15.440Z,Yaw Nkrumah,207014089,,"House 287, Street 61",Mampong,Ashanti,,,1796,out_for_delivery,Mary Nkrumah,Faith Owusu,1040,
2025-10-11T08:28:13.829Z,Joyce Frimpong,508071547,,"House 283, Street 56",Dormaa Ahenkro,Bono,,,2512,pending_confirmation,Akua Nkrumah,Unassigned,1049,
2025-10-10T08:14:47.553Z,Kofi Agyeman,241536256,,"House 81, Street 8",Lawra,Upper West,,,19716,pending_confirmation,Emmanuel Amponsah,Unassigned,1102,
2025-10-09T08:15:23.829Z,Benjamin Agyeman,559440304,,"House 369, Street 23",Nkawkaw,Eastern,,,2337,failed_delivery,Elizabeth Amponsah,Ruth Adjei,1058,
2025-10-09T06:30:12.490Z,Rebecca Annan,573210214,,"House 1, Street 96",Winneba,Central,,,714,preparing,Rebecca Boateng,Unassigned,1114,
2025-10-08T14:51:51.125Z,Elizabeth Nkrumah,272117857,,"House 286, Street 77",Sunyani,Bono,,,19939,out_for_delivery,David Opoku,Emmanuel Gyasi,1015,
2025-10-08T00:14:02.380Z,Joseph Addo,266372119,,"House 252, Street 84",Walewale,Northern,,,12203,failed_delivery,Elizabeth Amponsah,Faith Owusu,1075,
